"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.918594584E-1,2.231057666E-2,-3.534221593E-3,6.375102282E-2,6.763464691E-2
9.018624583E-1,9.607546334E-3,-1.047126688E-3,4.474289417E-2,4.577475286E-2
9.118654584E-1,2.712930362E-2,-2.848580740E-3,3.201935291E-2,4.206367183E-2
9.218674583E-1,2.452146371E-2,-2.492247764E-3,3.830569446E-2,4.555040845E-2
9.318704584E-1,2.070691381E-2,-1.516645314E-2,5.087779284E-2,5.698550153E-2
9.418734583E-1,2.382832198E-2,-7.777893171E-3,5.207413316E-2,5.779273220E-2
9.518754584E-1,1.776693835E-2,-1.477847211E-3,3.845304430E-2,4.238495896E-2
9.618784583E-1,2.737572722E-2,1.138337770E-2,4.878156602E-2,5.708461187E-2
9.718814584E-1,4.283095515E-2,-7.061718889E-3,4.040016711E-2,5.930035493E-2
9.818834583E-1,5.715799937E-2,-3.209628034E-3,3.800339341E-2,6.871387426E-2
9.918864584E-1,3.591819408E-2,-9.424980730E-4,5.162506700E-2,6.289795316E-2
1.001889458E0,3.314109099E-2,-7.177256215E-3,5.372187853E-2,6.352861679E-2
1.011891458E0,3.349130723E-2,-8.598568160E-3,4.908035874E-2,6.003736044E-2
1.021894458E0,1.711677822E-2,-7.961788103E-3,5.985677719E-2,6.276310972E-2
1.031897458E0,2.139831965E-2,-1.572815130E-2,4.788518786E-2,5.475631511E-2
1.041900458E0,2.138898695E-2,-9.919801354E-3,4.833483875E-2,5.377869335E-2
1.051902458E0,1.860149591E-2,-1.608344274E-2,5.671740711E-2,6.181874351E-2
1.061905458E0,3.129888001E-2,9.653807860E-3,4.668475449E-2,5.702878394E-2
1.071908458E0,2.239375787E-2,5.790260118E-3,4.758171737E-2,5.290583457E-2
1.081910458E0,1.851680264E-2,8.297564462E-4,4.219350815E-2,4.608527537E-2
1.091913458E0,4.186103912E-2,-6.963558756E-3,5.072518051E-2,6.613532856E-2
1.101916458E0,4.365697030E-2,-1.526653189E-2,4.788167953E-2,6.657066386E-2
1.111918458E0,4.999871878E-2,-1.645130569E-2,2.932027817E-2,6.025110829E-2
1.121921458E0,2.431277293E-2,-1.727452056E-2,4.099658310E-2,5.069753263E-2
1.131924458E0,2.580234198E-2,-2.095033614E-2,2.991844833E-2,4.471902265E-2
1.141926458E0,2.743959891E-2,-1.225890689E-2,4.174327254E-2,5.143649666E-2
1.151929458E0,2.384058743E-2,-2.711317353E-3,5.297401965E-2,5.815472129E-2
1.161932458E0,3.303952302E-2,4.515183382E-3,4.803721547E-2,5.847709836E-2
1.171934458E0,2.795743381E-2,1.480789091E-3,5.896507680E-2,6.527396973E-2
1.181937458E0,1.953763970E-2,1.481519993E-3,4.295130730E-2,4.720941712E-2
1.191940458E0,1.367463657E-2,1.301122427E-2,5.163325310E-2,5.497527142E-2
1.201942458E0,2.213260203E-2,1.804249752E-3,7.169037223E-2,7.505076189E-2
1.211945458E0,4.469312889E-2,-9.283660837E-3,4.025574088E-2,6.086203087E-2
1.221948458E0,3.523767411E-2,-1.206461487E-2,6.106013417E-2,7.152334300E-2
1.231950458E0,3.644276242E-2,-2.245367356E-2,4.264666736E-2,6.042334504E-2
1.241953458E0,3.877142519E-2,-1.814738195E-3,5.177709460E-2,6.471000086E-2
1.251956458E0,3.588211494E-2,1.332214996E-2,5.985970080E-2,7.105061317E-2
1.261958458E0,2.057686351E-2,4.908024911E-3,4.324483752E-2,4.814158278E-2
1.271961458E0,2.515883306E-2,-1.963677742E-3,6.300199449E-2,6.786806481E-2
1.281964458E0,3.512877429E-2,-1.255018959E-2,3.980199695E-2,5.455031625E-2
1.291966458E0,3.207337114E-2,-6.159639694E-3,2.752518296E-2,4.271156745E-2
1.301969458E0,2.819961361E-2,-9.294642638E-3,4.264023542E-2,5.195958301E-2
1.311972458E0,2.916558277E-2,-4.037648588E-3,4.248762310E-2,5.169266815E-2
1.321974458E0,2.036361373E-2,6.424628198E-5,5.326404154E-2,5.702402137E-2
1.331977458E0,3.054036367E-2,2.269267850E-4,4.159007549E-2,5.159941558E-2
1.341980458E0,4.143440251E-2,-6.581297033E-3,4.129303694E-2,5.886627287E-2
1.351982458E0,3.624021578E-2,-1.226109959E-2,5.162155867E-2,6.425319542E-2
1.361985458E0,4.258264492E-2,-2.453241354E-2,4.757703960E-2,6.840099165E-2
1.371988458E0,4.844601350E-2,-6.350057926E-3,6.194598734E-2,7.889641822E-2
1.381990458E0,3.712860884E-2,1.183754191E-2,6.224185646E-2,7.343507124E-2
1.391993458E0,2.152272373E-2,5.590650793E-3,3.724267066E-2,4.337625538E-2
1.401996458E0,2.823519940E-2,6.431535222E-3,4.203095555E-2,5.104108497E-2
1.411998458E0,2.362673922E-2,-9.254972935E-3,4.741565645E-2,5.377845114E-2
1.422001458E0,2.213550737E-2,-6.654405501E-3,4.412133515E-2,4.980917600E-2
1.432004458E0,2.375935681E-2,4.542921111E-3,3.693042934E-2,4.414750026E-2
1.442006458E0,1.126651562E-2,7.272474468E-3,4.276419640E-2,4.481740457E-2
1.452009458E0,-1.494557457E-4,8.680739813E-4,6.012399495E-2,6.013044701E-2
1.462012458E0,2.239304524E-2,-6.164061651E-4,4.754604936E-2,5.255906431E-2
1.472014458E0,3.586668834E-2,7.761740237E-3,4.065919876E-2,5.477074390E-2
1.482017458E0,3.779568935E-2,-9.263286944E-3,4.679234326E-2,6.085923107E-2
1.492020458E0,4.006788994E-2,-7.501794957E-3,6.893984199E-2,8.009004024E-2
1.502023458E0,3.904847357E-2,8.978966083E-3,7.582201481E-2,8.575769965E-2
1.512025458E0,2.965477545E-2,1.548234897E-2,4.842137754E-2,5.885353549E-2
1.522028458E0,3.404248039E-2,2.030317727E-2,5.230392873E-2,6.562629381E-2
